                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4352,                 2.1007,                 2.5177,                 1.0037,                0.77303,                   0.54,                0.61009,                0.34977,                0.70909,                 0.5125,                0.55175,                0.25994,                 1.5114,                 2.3598,                 1.8277,                 1.0555,              0.0006615,              0.0006615,              0.0006615
                      2,                 1.3695,                 1.9462,                 1.4783,                0.99074,                0.74437,                0.55326,                0.62554,                0.37536,                0.72283,                0.53463,                  0.602,                0.28411,                 1.4838,                 2.3723,                 1.5269,                 1.0635,              0.0011967,              0.0011967,              0.0011967
                      3,                 1.3677,                  1.867,                 1.2011,                 1.0064,                0.80997,                 0.6074,                0.68373,                0.41834,                 0.7789,                   0.59,                0.67042,                0.31557,                 1.4403,                 2.0119,                 1.2118,                 1.0482,              0.0015999,              0.0015999,              0.0015999
                      4,                 1.3275,                 1.7392,                 1.0357,                0.98552,                0.84518,                0.64143,                0.71458,                0.44094,                0.81458,                 0.6175,                0.66979,                0.29272,                 1.3599,                 1.9017,                 1.0998,                 1.0317,               0.001406,               0.001406,               0.001406
                      5,                 1.2834,                 1.7378,                0.97428,                0.98189,                 0.8229,                 0.6525,                0.74286,                0.44538,                0.79639,                   0.63,                0.71239,                0.34897,                 1.3923,                 1.8834,                 1.0419,                  1.054,               0.001406,               0.001406,               0.001406
                      6,                 1.2409,                 1.6661,                0.90148,                0.96156,                0.84552,                 0.6625,                0.76665,                0.47693,                0.82263,                  0.625,                0.71648,                 0.3456,                 1.3283,                 1.8695,                 1.0068,                  1.016,               0.001208,               0.001208,               0.001208
                      7,                 1.1972,                 1.6255,                 0.8352,                0.94345,                0.86934,                   0.69,                0.78462,                0.48802,                0.84832,                 0.6725,                0.74228,                0.37903,                 1.2666,                 1.7285,                0.89629,                 0.9952,                0.00101,                0.00101,                0.00101
                      8,                 1.1636,                  1.561,                0.80211,                0.93901,                0.78715,                0.70266,                0.78224,                0.51597,                0.77149,                 0.6725,                0.73991,                0.39041,                   1.21,                 1.6763,                0.93956,                0.97645,               0.000812,               0.000812,               0.000812
                      9,                 1.1324,                 1.5222,                 0.7697,                0.92865,                0.81502,                   0.75,                0.81595,                0.53111,                0.86352,                0.66433,                0.76674,                 0.3918,                 1.2151,                 1.6319,                 0.8474,                0.96302,               0.000614,               0.000614,               0.000614
                     10,                 1.0942,                 1.4419,                0.71983,                0.91577,                0.82374,                   0.75,                0.81767,                0.54767,                0.81413,                0.70081,                0.77178,                0.38007,                 1.1893,                 1.5908,                 0.8173,                0.95496,               0.000416,               0.000416,               0.000416
